breed_group,breeds,links
herding,australian cattle dog,https://www.akc.org/dog-breeds/australian-cattle-dog/
herding,australian shepherd,https://www.akc.org/dog-breeds/australian-shepherd/
herding,bearded collie,https://www.akc.org/dog-breeds/bearded-collie/
herding,beauceron,https://www.akc.org/dog-breeds/beauceron/
herding,belgian laekenois,https://www.akc.org/dog-breeds/belgian-laekenois/
herding,belgian malinois,https://www.akc.org/dog-breeds/belgian-malinois/
herding,belgian sheepdog,https://www.akc.org/dog-breeds/belgian-sheepdog/
herding,belgian tervuren,https://www.akc.org/dog-breeds/belgian-tervuren/
herding,bergamasco,https://www.akc.org/dog-breeds/bergamasco-sheepdog/
herding,berger picard,https://www.akc.org/dog-breeds/berger-picard/
herding,border collie,https://www.akc.org/dog-breeds/border-collie/
herding,bouvier des flandres,https://www.akc.org/dog-breeds/bouvier-des-flandres/
herding,briard,https://www.akc.org/dog-breeds/briard/
herding,canaan dog,https://www.akc.org/dog-breeds/canaan-dog/
herding,cardigan welsh corgi,https://www.akc.org/dog-breeds/cardigan-welsh-corgi/
herding,collie,https://www.akc.org/dog-breeds/collie/
herding,entlebucher mountain dog,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/
herding,finnish lapphund,https://www.akc.org/dog-breeds/finnish-lapphund/
herding,german shepherd dog,https://www.akc.org/dog-breeds/german-shepherd-dog/
herding,icelandic sheepdog,https://www.akc.org/dog-breeds/icelandic-sheepdog/
herding,lancashire heeler,https://www.akc.org/dog-breeds/lancashire-heeler/
herding,miniature american shepherd,https://www.akc.org/dog-breeds/miniature-american-shepherd/
herding,mudi,https://www.akc.org/dog-breeds/mudi/
herding,norwegian buhund,https://www.akc.org/dog-breeds/norwegian-buhund/
herding,old english sheepdog,https://www.akc.org/dog-breeds/old-english-sheepdog/
herding,pembroke welsh corgi,https://www.akc.org/dog-breeds/pembroke-welsh-corgi/
herding,polish lowland sheepdog,https://www.akc.org/dog-breeds/polish-lowland-sheepdog/
herding,puli,https://www.akc.org/dog-breeds/puli/
herding,pumi,https://www.akc.org/dog-breeds/pumi/
herding,pyrenean shepherd,https://www.akc.org/dog-breeds/pyrenean-shepherd/
herding,shetland sheepdog,https://www.akc.org/dog-breeds/shetland-sheepdog/
herding,spanish water dog,https://www.akc.org/dog-breeds/spanish-water-dog/
herding,swedish vallhund,https://www.akc.org/dog-breeds/swedish-vallhund/
hound,afghan hound,https://www.akc.org/dog-breeds/afghan-hound/
hound,american english coonhound,https://www.akc.org/dog-breeds/american-english-coonhound/
hound,american foxhound,https://www.akc.org/dog-breeds/american-foxhound/
hound,azawakh,https://www.akc.org/dog-breeds/azawakh/
hound,basenji,https://www.akc.org/dog-breeds/basenji/
hound,basset hound,https://www.akc.org/dog-breeds/basset-hound/
hound,beagle,https://www.akc.org/dog-breeds/beagle/
hound,black and tan coonhound,https://www.akc.org/dog-breeds/black-and-tan-coonhound/
hound,bloodhound,https://www.akc.org/dog-breeds/bloodhound/
hound,bluetick coonhound,https://www.akc.org/dog-breeds/bluetick-coonhound/
hound,borzoi,https://www.akc.org/dog-breeds/borzoi/
hound,cirneco dellâ€™etna,https://www.akc.org/dog-breeds/cirneco-delletna/
hound,dachshund,https://www.akc.org/dog-breeds/dachshund/
hound,english foxhound,https://www.akc.org/dog-breeds/english-foxhound/
hound,grand basset griffon vendeen,https://www.akc.org/dog-breeds/grand-basset-griffon-vendeen/
hound,greyhound,https://www.akc.org/dog-breeds/greyhound/
hound,harrier,https://www.akc.org/dog-breeds/harrier/
hound,ibizan hound,https://www.akc.org/dog-breeds/ibizan-hound/
hound,irish wolfhound,https://www.akc.org/dog-breeds/irish-wolfhound/
hound,norwegian elkhound,https://www.akc.org/dog-breeds/norwegian-elkhound/
hound,otterhound,https://www.akc.org/dog-breeds/otterhound/
hound,petit basset griffon vendeen,https://www.akc.org/dog-breeds/petit-basset-griffon-vendeen/
hound,pharaoh hound,https://www.akc.org/dog-breeds/pharaoh-hound/
hound,plott hound,https://www.akc.org/dog-breeds/plott/
hound,portuguese podengo pequeno,https://www.akc.org/dog-breeds/portuguese-podengo-pequeno/
hound,redbone coonhound,https://www.akc.org/dog-breeds/redbone-coonhound/
hound,rhodesian ridgeback,https://www.akc.org/dog-breeds/rhodesian-ridgeback/
hound,saluki,https://www.akc.org/dog-breeds/saluki/
hound,scottish deerhound,https://www.akc.org/dog-breeds/scottish-deerhound/
hound,sloughi,https://www.akc.org/dog-breeds/sloughi/
hound,treeing walker coonhound,https://www.akc.org/dog-breeds/treeing-walker-coonhound/
hound,whippet,https://www.akc.org/dog-breeds/whippet/
toy,affenpinscher,https://www.akc.org/dog-breeds/affenpinscher/
toy,biewer terrier,https://www.akc.org/dog-breeds/biewer-terrier/
toy,brussels griffon,https://www.akc.org/dog-breeds/brussels-griffon/
toy,cavalier king charles spaniel,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/
toy,chihuahua,https://www.akc.org/dog-breeds/chihuahua/
toy,chinese crested,https://www.akc.org/dog-breeds/chinese-crested/
toy,english toy spaniel,https://www.akc.org/dog-breeds/english-toy-spaniel/
toy,havanese,https://www.akc.org/dog-breeds/havanese/
toy,italian greyhound,https://www.akc.org/dog-breeds/italian-greyhound/
toy,japanese chin,https://www.akc.org/dog-breeds/japanese-chin/
toy,maltese,https://www.akc.org/dog-breeds/maltese/
toy,manchester terrier,https://www.akc.org/dog-breeds/manchester-terrier/
toy,miniature pinscher,https://www.akc.org/dog-breeds/miniature-pinscher/
toy,papillon,https://www.akc.org/dog-breeds/papillon/
toy,pekingese,https://www.akc.org/dog-breeds/pekingese/
toy,pomeranian,https://www.akc.org/dog-breeds/pomeranian/
toy,poodle (toy),https://www.akc.org/dog-breeds/poodle/
toy,pug,https://www.akc.org/dog-breeds/pug/
toy,russian toy,https://www.akc.org/dog-breeds/russian-toy/
toy,shih tzu,https://www.akc.org/dog-breeds/shih-tzu/
toy,silky terrier,https://www.akc.org/dog-breeds/silky-terrier/
toy,toy fox terrier,https://www.akc.org/dog-breeds/toy-fox-terrier/
toy,yorkshire terrier,https://www.akc.org/dog-breeds/yorkshire-terrier/
non-sporting,american eskimo dog,https://www.akc.org/dog-breeds/american-eskimo-dog/
non-sporting,bichon frise,https://www.akc.org/dog-breeds/bichon-frise/
non-sporting,boston terrier,https://www.akc.org/dog-breeds/boston-terrier/
non-sporting,bulldog,https://www.akc.org/dog-breeds/bulldog/
non-sporting,chinese shar-pei,https://www.akc.org/dog-breeds/chinese-shar-pei/
non-sporting,chow chow,https://www.akc.org/dog-breeds/chow-chow/
non-sporting,coton de tulear,https://www.akc.org/dog-breeds/coton-de-tulear/
non-sporting,dalmatian,https://www.akc.org/dog-breeds/dalmatian/
non-sporting,finnish spitz,https://www.akc.org/dog-breeds/finnish-spitz/
non-sporting,french bulldog,https://www.akc.org/dog-breeds/french-bulldog/
non-sporting,keeshond,https://www.akc.org/dog-breeds/keeshond/
non-sporting,lhasa apso,https://www.akc.org/dog-breeds/lhasa-apso/
non-sporting,lowchen,https://www.akc.org/dog-breeds/lowchen/
non-sporting,norwegian lundhund,https://www.akc.org/dog-breeds/norwegian-lundehund/
non-sporting,poodle,https://www.akc.org/dog-breeds/poodle/
non-sporting,schipperke,https://www.akc.org/dog-breeds/schipperke/
non-sporting,shiba inu,https://www.akc.org/dog-breeds/shiba-inu/
non-sporting,tibetan spaniel,https://www.akc.org/dog-breeds/tibetan-spaniel/
non-sporting,tibetan terrier,https://www.akc.org/dog-breeds/tibetan-terrier/
non-sporting,xoloitzcuintli,https://www.akc.org/dog-breeds/xoloitzcuintli/
sporting,american water spaniel,https://www.akc.org/dog-breeds/american-water-spaniel/
sporting,barbet,https://www.akc.org/dog-breeds/barbet/
sporting,boykin spaniel,https://www.akc.org/dog-breeds/boykin-spaniel/
sporting,bracco italiano,https://www.akc.org/dog-breeds/bracco-italiano/
sporting,brittany,https://www.akc.org/dog-breeds/brittany/
sporting,chesapeake bay retriever,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/
sporting,clumber spaniel,https://www.akc.org/dog-breeds/clumber-spaniel/
sporting,cocker spaniel,https://www.akc.org/dog-breeds/cocker-spaniel/
sporting,curly-coated retriever,https://www.akc.org/dog-breeds/curly-coated-retriever/
sporting,english cocker spaniel,https://www.akc.org/dog-breeds/english-cocker-spaniel/
sporting,english setter,https://www.akc.org/dog-breeds/english-setter/
sporting,english springer spaniel,https://www.akc.org/dog-breeds/english-springer-spaniel/
sporting,field spaniel,https://www.akc.org/dog-breeds/field-spaniel/
sporting,flat-coated retriever,https://www.akc.org/dog-breeds/flat-coated-retriever/
sporting,german shorthaired pointer,https://www.akc.org/dog-breeds/german-shorthaired-pointer/
sporting,german wirehaired pointer,https://www.akc.org/dog-breeds/german-wirehaired-pointer/
sporting,golden retriever,https://www.akc.org/dog-breeds/golden-retriever/
sporting,gordon setter,https://www.akc.org/dog-breeds/gordon-setter/
sporting,irish red and white setter,https://www.akc.org/dog-breeds/irish-red-and-white-setter/
sporting,irish setter,https://www.akc.org/dog-breeds/irish-setter/
sporting,irish water spaniel,https://www.akc.org/dog-breeds/irish-water-spaniel/
sporting,labrador retriever,https://www.akc.org/dog-breeds/labrador-retriever/
sporting,lagotto romagnolo,https://www.akc.org/dog-breeds/lagotto-romagnolo/
sporting,nederlandse kooikerhondje,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/
sporting,nova scotia duck tolling retriever,https://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever/
sporting,pointer,https://www.akc.org/dog-breeds/pointer/
sporting,spinone italiano,https://www.akc.org/dog-breeds/spinone-italiano/
sporting,sussex spaniel,https://www.akc.org/dog-breeds/sussex-spaniel/
sporting,vizsla,https://www.akc.org/dog-breeds/vizsla/
sporting,weimaraner,https://www.akc.org/dog-breeds/weimaraner/
sporting,welsh springer spaniel,https://www.akc.org/dog-breeds/welsh-springer-spaniel/
sporting,wirehaired pointing griffon,https://www.akc.org/dog-breeds/wirehaired-pointing-griffon/
sporting,wirehaired vizsla,https://www.akc.org/dog-breeds/wirehaired-vizsla/
terrier,airedale terrier,https://www.akc.org/dog-breeds/airedale-terrier/
terrier,american hairless terrier,https://www.akc.org/dog-breeds/american-hairless-terrier/
terrier,american staffordshire terrier,https://www.akc.org/dog-breeds/american-staffordshire-terrier/
terrier,australian terrier,https://www.akc.org/dog-breeds/australian-terrier/
terrier,bedlington terrier,https://www.akc.org/dog-breeds/bedlington-terrier/
terrier,border terrier,https://www.akc.org/dog-breeds/border-terrier/
terrier,bull terrier,https://www.akc.org/dog-breeds/bull-terrier/
terrier,cairn terrier,https://www.akc.org/dog-breeds/cairn-terrier/
terrier,cesky terrier,https://www.akc.org/dog-breeds/cesky-terrier/
terrier,dandie dinmont terrier,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/
terrier,glen of imaal terrier,https://www.akc.org/dog-breeds/glen-of-imaal-terrier/
terrier,irish terrier,https://www.akc.org/dog-breeds/irish-terrier/
terrier,kerry blue terrier,https://www.akc.org/dog-breeds/kerry-blue-terrier/
terrier,lakeland terrier,https://www.akc.org/dog-breeds/lakeland-terrier/
terrier,manchester terrier,https://www.akc.org/dog-breeds/manchester-terrier/
terrier,miniature bull terrier,https://www.akc.org/dog-breeds/miniature-bull-terrier/
terrier,miniature schnauzer,https://www.akc.org/dog-breeds/miniature-schnauzer/
terrier,norfolk terrier,https://www.akc.org/dog-breeds/norfolk-terrier/
terrier,norwich terrier,https://www.akc.org/dog-breeds/norwich-terrier/
terrier,parson russell terrier,https://www.akc.org/dog-breeds/parson-russell-terrier/
terrier,rat terrier,https://www.akc.org/dog-breeds/rat-terrier/
terrier,russell terrier,https://www.akc.org/dog-breeds/russell-terrier/
terrier,scottish terrier,https://www.akc.org/dog-breeds/scottish-terrier/
terrier,sealyham terrier,https://www.akc.org/dog-breeds/sealyham-terrier/
terrier,skye terrier,https://www.akc.org/dog-breeds/skye-terrier/
terrier,smooth fox terrier,https://www.akc.org/dog-breeds/smooth-fox-terrier/
terrier,soft coated wheaten terrier,https://www.akc.org/dog-breeds/nederlandse-kooikerhondje/
terrier,staffordshire bull terrier,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/
terrier,welsh terrier,https://www.akc.org/dog-breeds/welsh-terrier/
terrier,west highland white terrier,https://www.akc.org/dog-breeds/west-highland-white-terrier/
terrier,wire fox terrier,https://www.akc.org/dog-breeds/wire-fox-terrier/
working,akita,https://www.akc.org/dog-breeds/akita/
working,alaskan malamute,https://www.akc.org/dog-breeds/alaskan-malamute/
working,anatolian shepherd dog,https://www.akc.org/dog-breeds/anatolian-shepherd-dog/
working,bernese mountain dog,https://www.akc.org/dog-breeds/bernese-mountain-dog/
working,black russian terrier,https://www.akc.org/dog-breeds/black-russian-terrier/
working,boerboel,https://www.akc.org/dog-breeds/boerboel/
working,boxer,https://www.akc.org/dog-breeds/boxer/
working,bullmastiff,https://www.akc.org/dog-breeds/bullmastiff/
working,cane corso,https://www.akc.org/dog-breeds/cane-corso/
working,chinook,https://www.akc.org/dog-breeds/chinook/
working,doberman pinscher,https://www.akc.org/dog-breeds/doberman-pinscher/
working,dogo argentino,https://www.akc.org/dog-breeds/dogo-argentino/
working,dogue de bordeaux,https://www.akc.org/dog-breeds/dogue-de-bordeaux/
working,german pinscher,https://www.akc.org/dog-breeds/german-pinscher/
working,giant schnauzer,https://www.akc.org/dog-breeds/giant-schnauzer/
working,great dane,https://www.akc.org/dog-breeds/great-dane/
working,great pyrenees,https://www.akc.org/dog-breeds/great-pyrenees/
working,greater swiss mountain dog,https://www.akc.org/dog-breeds/greater-swiss-mountain-dog/
working,komondor,https://www.akc.org/dog-breeds/komondor/
working,kuvasz,https://www.akc.org/dog-breeds/kuvasz/
working,leonberger,https://www.akc.org/dog-breeds/leonberger/
working,mastiff,https://www.akc.org/dog-breeds/mastiff/
working,neapolitan mastiff,https://www.akc.org/dog-breeds/neapolitan-mastiff/
working,newfoundland,https://www.akc.org/dog-breeds/newfoundland/
working,portuguese water dog,https://www.akc.org/dog-breeds/portuguese-water-dog/
working,rottweiler,https://www.akc.org/dog-breeds/rottweiler/
working,saint bernard,https://www.akc.org/dog-breeds/st-bernard/
working,samoyed,https://www.akc.org/dog-breeds/samoyed/
working,siberian husky,https://www.akc.org/dog-breeds/siberian-husky/
working,standard schnauzer,https://www.akc.org/dog-breeds/standard-schnauzer/
working,tibetan mastiff,https://www.akc.org/dog-breeds/tibetan-mastiff/
miscellaneous class,danish-swedish farmdog,https://www.akc.org/dog-breeds/danish-swedish-farmdog/
miscellaneous class,basset fauve de bretagne,https://www.akc.org/dog-breeds/basset-fauve-de-bretagne/
miscellaneous class,dutch shepherd,https://www.akc.org/dog-breeds/dutch-shepherd/
miscellaneous class,japanese akitainu,https://www.akc.org/dog-breeds/japanese-akitainu/
miscellaneous class,kai ken,https://www.akc.org/dog-breeds/kai-ken/
miscellaneous class,norrbottenspets,https://www.akc.org/dog-breeds/norrbottenspets/
miscellaneous class,peruvian inca orchid,https://www.akc.org/dog-breeds/peruvian-inca-orchid/
miscellaneous class,portuguese podengo,https://www.akc.org/dog-breeds/portuguese-podengo/
miscellaneous class,russian tsvetnaya bolonka,https://www.akc.org/dog-breeds/russian-tsvetnaya-bolonka/
miscellaneous class,small musterlander pointer,https://www.akc.org/dog-breeds/small-munsterlander-pointer/
miscellaneous class,teddy roosevelt terrier,https://www.akc.org/dog-breeds/teddy-roosevelt-terrier/
foundation stock service,alaskan klee kai,https://www.akc.org/dog-breeds/alaskan-klee-kai/
foundation stock service,american bulldog,https://www.akc.org/dog-breeds/american-bulldog/
foundation stock service,american leopard hound,https://www.akc.org/dog-breeds/american-leopard-hound/
foundation stock service,appenzeller sennenhund,https://www.akc.org/dog-breeds/appenzeller-sennenhunde/
foundation stock service,australian kelpie,https://www.akc.org/dog-breeds/australian-kelpie/
foundation stock service,australian stumpy tail cattle dog,https://www.akc.org/dog-breeds/australian-stump-tail-cattle-dog/
foundation stock service,barbado da terceira,https://www.akc.org/dog-breeds/barbado-da-terceira/
foundation stock service,bavarian mountain scent hound,https://www.akc.org/dog-breeds/bavarian-mountain-scent-hound/
foundation stock service,bohemian shepherd,https://www.akc.org/dog-breeds/bohemian-shepherd/
foundation stock service,bolognese,https://www.akc.org/dog-breeds/bolognese/
foundation stock service,braque de bourbonnais,https://www.akc.org/dog-breeds/braque-du-bourbonnais/
foundation stock service,braque francais pyrenean,https://www.akc.org/dog-breeds/braque-francais-pyrenean/
foundation stock service,broholmer,https://www.akc.org/dog-breeds/broholmer/
foundation stock service,carolina dog,https://www.akc.org/dog-breeds/carolina-dog/
foundation stock service,catahoula leopard dog,https://www.akc.org/dog-breeds/catahoula-leopard-dog/
foundation stock service,caucasian shepherd dog,https://www.akc.org/dog-breeds/caucasian-shepherd-dog/
foundation stock service,central asian shepherd dog,https://www.akc.org/dog-breeds/central-asian-shepherd-dog/
foundation stock service,croatian sheepdog,https://www.akc.org/dog-breeds/croatian-sheepdog/
foundation stock service,czechoslovakian vlack,https://www.akc.org/dog-breeds/czechoslovakian-vlcak/
foundation stock service,deutscher wachtelhund,https://www.akc.org/dog-breeds/deutscher-wachtelhund/
foundation stock service,drentsche patrijshond,https://www.akc.org/dog-breeds/drentsche-patrijshond/
foundation stock service,drever,https://www.akc.org/dog-breeds/drever/
foundation stock service,estrela mountain dog,https://www.akc.org/dog-breeds/estrela-mountain-dog/
foundation stock service,eurasier,https://www.akc.org/dog-breeds/eurasier/
foundation stock service,french spaniel,https://www.akc.org/dog-breeds/french-spaniel/
foundation stock service,german longhaired pointer,https://www.akc.org/dog-breeds/german-longhaired-pointer/
foundation stock service,german spitz,https://www.akc.org/dog-breeds/german-spitz/
foundation stock service,hamiltonstovare,https://www.akc.org/dog-breeds/hamiltonstovare/
foundation stock service,hanoverian scenthound,https://www.akc.org/dog-breeds/hanoverian-scenthound/
foundation stock service,hokkaido,https://www.akc.org/dog-breeds/hokkaido/
foundation stock service,hovawart,https://www.akc.org/dog-breeds/hovawart/
foundation stock service,jagdterrier,https://www.akc.org/dog-breeds/jagdterrier/
foundation stock service,japanese terrier,https://www.akc.org/dog-breeds/japanese-terrier/
foundation stock service,jindo,https://www.akc.org/dog-breeds/jindo/
foundation stock service,karelian bear dog,https://www.akc.org/dog-breeds/karelian-bear-dog/
foundation stock service,kishu ken,https://www.akc.org/dog-breeds/kishu-ken/
foundation stock service,kromfohrlander,https://www.akc.org/dog-breeds/kromfohrlander/
foundation stock service,lapponian herder,https://www.akc.org/dog-breeds/lapponian-herder/
foundation stock service,mountain cur,https://www.akc.org/dog-breeds/mountain-cur/
foundation stock service,perro de presa canario,https://www.akc.org/dog-breeds/perro-de-presa-canario/
foundation stock service,porcelaine,https://www.akc.org/dog-breeds/porcelaine/
foundation stock service,portuguese pointer,https://www.akc.org/dog-breeds/portuguese-pointer/
foundation stock service,portuguese sheepdog,https://www.akc.org/dog-breeds/portuguese-sheepdog/
foundation stock service,pudelpointer,https://www.akc.org/dog-breeds/pudelpointer/
foundation stock service,pyrenean mastiff,https://www.akc.org/dog-breeds/pyrenean-mastiff/
foundation stock service,rafeiro de alentejo,https://www.akc.org/dog-breeds/rafeiro-do-alentejo/
foundation stock service,romanian carpathian shepherd,https://www.akc.org/dog-breeds/romanian-carpathian-shepherd/
foundation stock service,romanian mioritic shepherd dog,https://www.akc.org/dog-breeds/romanian-mioritic-shepherd-dog/
foundation stock service,schapendoes,https://www.akc.org/dog-breeds/schapendoes/
foundation stock service,segugio italiano,https://www.akc.org/dog-breeds/segugio-italiano/
foundation stock service,shikoku,https://www.akc.org/dog-breeds/shikoku/
foundation stock service,slovakian wirehaired pointer,https://www.akc.org/dog-breeds/slovakian-wirehaired-pointer/
foundation stock service,slovensky cuvac,https://www.akc.org/dog-breeds/slovensky-cuvac/
foundation stock service,slovensky kopov,https://www.akc.org/dog-breeds/slovensky-kopov/
foundation stock service,spanish mastiff,https://www.akc.org/dog-breeds/spanish-mastiff/
foundation stock service,stabyhoun,https://www.akc.org/dog-breeds/stabyhoun/
foundation stock service,swedish lapphund,https://www.akc.org/dog-breeds/swedish-lapphund/
foundation stock service,taiwan dog,https://www.akc.org/dog-breeds/taiwan-dog/
foundation stock service,thai ridgeback,https://www.akc.org/dog-breeds/thai-ridgeback/
foundation stock service,tornjak,https://www.akc.org/dog-breeds/tornjak/
foundation stock service,tosa,https://www.akc.org/dog-breeds/tosa/
foundation stock service,transylvanian hound,https://www.akc.org/dog-breeds/transylvanian-hound/
foundation stock service,treeing tennessee brindle,https://www.akc.org/dog-breeds/treeing-tennessee-brindle/
foundation stock service,volpino italiano,https://www.akc.org/dog-breeds/volpino-italiano/
foundation stock service,wetterhoun,https://www.akc.org/dog-breeds/wetterhoun/
foundation stock service,working kelpie,https://www.akc.org/dog-breeds/working-kelpie/
foundation stock service,yakutian laika,https://www.akc.org/dog-breeds/yakutian-laika/
