roster,sub_district,avg_household_size,total_households
2015,011,1.5960825833774483,1889.0
2015,012,1.8525345622119815,217.0
2015,013,1.5911413969335604,587.0
2015,014,2.1772151898734178,316.0
2015,021,1.9414126207502196,7971.0
2015,023,2.4036217303822935,2485.0
2015,024,1.9990962494351558,4426.0
2015,031,1.9156570901119185,8667.0
2015,033,2.5247005988023954,4008.0
2015,034,1.8811118246032474,10901.0
2015,041,2.046242774566474,2076.0
2015,042,1.7902158774373256,5744.0
2015,044,1.9901207464324917,6377.0
2015,051,1.8902034039020341,4818.0
2015,052,1.969630442736919,2733.0
2015,061,1.9839646115565384,10851.0
2015,063,1.9615384615384615,5018.0
2015,071,2.121965317919075,3460.0
2015,072,1.9976967370441459,5210.0
2015,073,1.9553370786516855,3560.0
2015,074,2.0379948279291824,5027.0
2015,081,1.6786807208432506,2941.0
2015,082,1.795307193578265,3239.0
2015,083,1.8900871007880546,2411.0
2015,091,1.9648478488982162,9530.0
2015,092,2.0257907861924136,15238.0
2015,101,2.030544981895831,10771.0
2015,102,1.8552362630756283,8317.0
2015,111,2.2415380449499054,11079.0
2015,115,1.9752456174147561,10382.0
2015,119,2.115936921857105,11351.0
2015,121,2.5616605616605614,3276.0
2015,122,2.001621329490182,5551.0
2015,123,2.1890151515151515,5280.0
2016,011,1.60010593220339,1888.0
2016,012,1.8603603603603605,222.0
2016,013,1.6243567753001715,583.0
2016,014,2.062874251497006,334.0
2016,021,1.9504376772284553,8111.0
2016,023,2.3808208366219414,2534.0
2016,024,1.9955377063810797,4482.0
2016,031,1.9333333333333333,8760.0
2016,033,2.517166866746699,4165.0
2016,034,1.8766120918320681,10933.0
2016,041,2.048130841121495,2140.0
2016,042,1.7612067496164991,5867.0
2016,044,1.9515500856831283,6419.0
2016,051,1.8707552994443304,4859.0
2016,052,2.014680181754631,2861.0
2016,061,1.9660207300585852,11095.0
2016,063,1.9428405347800812,5161.0
2016,071,2.11875,3520.0
2016,072,2.006460193805814,5263.0
2016,073,1.9265237962705257,3593.0
2016,074,2.0270110410094637,5072.0
2016,081,1.6904600811907986,2956.0
2016,082,1.8037642702869485,3241.0
2016,083,1.9156064461407973,2358.0
2016,091,1.9684220660440939,10387.0
2016,092,2.0229312717028107,15263.0
2016,101,2.0315565426614843,10806.0
2016,102,1.8600213345976055,8437.0
2016,111,2.233784746970777,11224.0
2016,115,1.978467987804878,10496.0
2016,119,2.1147540983606556,11468.0
2016,121,2.531578947368421,3230.0
2016,122,1.9919766593727204,5484.0
2016,123,2.200256269449021,5463.0
2017,011,1.615018508725542,1891.0
2017,012,1.86784140969163,227.0
2017,013,1.6034782608695652,575.0
2017,014,2.209375,320.0
2017,021,2.0021069881774554,8543.0
2017,023,2.399366085578447,2524.0
2017,024,2.026978417266187,4448.0
2017,031,1.9538285714285715,8750.0
2017,033,2.5304937076476284,4132.0
2017,034,1.8821262101111509,11156.0
2017,041,2.062618595825427,2108.0
2017,042,1.7712316968130921,5805.0
2017,044,1.9539929219879981,6499.0
2017,051,1.8851674641148326,4807.0
2017,052,2.0254755434782608,2944.0
2017,061,1.978558027338515,11193.0
2017,063,1.937512016919823,5201.0
2017,071,2.128663131454089,3583.0
2017,072,2.020517737296261,5215.0
2017,073,1.949433545178226,3619.0
2017,074,2.043182726909236,5002.0
2017,081,1.713515335355578,2967.0
2017,082,1.8151702786377708,3230.0
2017,083,1.9423714759535653,2412.0
2017,091,2.007715468573579,10628.0
2017,092,2.0086629721638323,15699.0
2017,101,2.0417580409356724,10944.0
2017,102,1.8799159761932547,8569.0
2017,111,2.2510460251046025,11233.0
2017,115,1.9831408345752608,10736.0
2017,119,2.12509705806229,11591.0
2017,121,2.5521698984302863,3249.0
2017,122,1.9860933211344924,5465.0
2017,123,2.2018431514275387,5534.0
2018,011,1.613262599469496,1885.0
2018,012,1.8933333333333333,225.0
2018,013,1.6131756756756757,592.0
2018,014,2.1823899371069184,318.0
2018,021,2.033650083845724,8945.0
2018,023,2.420267085624509,2546.0
2018,024,2.0536193029490617,4476.0
2018,031,1.955283168766315,8811.0
2018,033,2.5096589554018602,4193.0
2018,034,1.884498207885305,11160.0
2018,041,2.0628348757915247,2053.0
2018,042,1.7649381868131868,5824.0
2018,044,1.9405895691609978,6615.0
2018,051,1.8846873052150428,4813.0
2018,052,2.053711939787889,2923.0
2018,061,1.9976338620629217,11411.0
2018,063,1.9461729337659859,5239.0
2018,071,2.1674305742787814,3709.0
2018,072,2.0278360343183985,5245.0
2018,073,1.9475706835026074,3643.0
2018,074,2.0399457048671708,5157.0
2018,081,1.721409574468085,3008.0
2018,082,1.8320049049662783,3262.0
2018,083,1.9701178451178452,2376.0
2018,091,2.0238363363363363,10656.0
2018,092,2.001233730183209,16211.0
2018,101,2.042057761732852,11080.0
2018,102,1.863535459749971,8559.0
2018,111,2.2363763187723427,11469.0
2018,115,1.9790533188248096,11028.0
2018,119,2.123630402898801,11591.0
2018,121,2.5713854512526413,3313.0
2018,122,1.9936166332299836,5483.0
2018,123,2.18612431766156,5679.0
2019,011,1.625853914871256,1903.0
2019,012,1.8201754385964912,228.0
2019,013,1.6170212765957446,611.0
2019,014,2.1726384364820848,307.0
2019,021,2.030706581554039,9086.0
2019,023,2.3837301587301587,2520.0
2019,024,2.033685601056803,4542.0
2019,031,1.9253966467874424,8887.0
2019,033,2.467712177121771,4336.0
2019,034,1.8652359023373013,11509.0
2019,041,2.0018885741265344,2118.0
2019,042,1.7216032188177035,6462.0
2019,044,1.9163784027673334,6649.0
2019,051,1.853771682129891,4958.0
2019,052,2.0587248322147653,2980.0
2019,061,2.008086717136958,11624.0
2019,063,1.9379520365435858,5254.0
2019,071,2.1603033472803346,3824.0
2019,072,2.0104751215862326,5346.0
2019,073,1.9274653626731866,3681.0
2019,074,2.01483453784709,5258.0
2019,081,1.7169996724533245,3053.0
2019,082,1.816338880484115,3305.0
2019,083,1.9840621168778096,2447.0
2019,091,2.0017503454629204,10855.0
2019,092,1.9816187370293508,16865.0
2019,101,2.0454870420017874,11190.0
2019,102,1.8583536514570997,8613.0
2019,111,2.2302909938692688,11581.0
2019,115,1.966893952987619,11146.0
2019,119,2.1187925170068027,11760.0
2019,121,2.5320253894979805,3466.0
2019,122,1.9693316787803579,5641.0
2019,123,2.1861182519280207,5835.0
2020,011,1.6136363636363635,1936.0
2020,012,1.7380952380952381,252.0
2020,013,1.6278688524590164,610.0
2020,014,2.264516129032258,310.0
2020,021,2.0298602964700865,9377.0
2020,023,2.381516587677725,2532.0
2020,024,2.027250926531502,4587.0
2020,031,1.9166291122127082,8876.0
2020,033,2.4775946134200137,4307.0
2020,034,1.8560625814863103,11505.0
2020,041,1.9664551223934723,2206.0
2020,042,1.7126032425818292,6538.0
2020,044,1.892012976981307,6473.0
2020,051,1.837821421340352,4939.0
2020,052,2.051701134089393,2998.0
2020,061,2.0147966517290943,11827.0
2020,063,1.9393536121673003,5260.0
2020,071,2.145412130637636,3858.0
2020,072,1.9933419641205845,5407.0
2020,073,1.9057891862370289,3662.0
2020,074,2.0272505168201467,5321.0
2020,081,1.7073944779435102,3151.0
2020,082,1.8335832083958021,3335.0
2020,083,2.001219016659894,2461.0
2020,091,2.004504918635653,10877.0
2020,092,1.9758729029580888,16869.0
2020,101,2.053016127595117,11223.0
2020,102,1.8531145267537272,8653.0
2020,111,2.221664213351805,11549.0
2020,115,1.9597741707833451,11336.0
2020,119,2.1117079311791858,11915.0
2020,121,2.521037463976945,3470.0
2020,122,1.960573476702509,5580.0
2020,123,2.155726495726496,5850.0
